c:\john\code\logwiz\logwizard\ui\Dummy.cs(44): 11:35:38,307 9          INFO  - Started LogWizard v1.2.24.0
c:\john\code\logwiz\logwizard\lw_common\ui\filter_ctrl.cs(678): 11:35:38,716 9          INFO  - filter pane =264 x485
c:\john\code\logwiz\logwizard\ui\log_wizard.cs(2843): 11:35:38,751 9          INFO  - left pane = 278 x 513 [269 x 485]
c:\john\code\logwiz\logwizard\ui\log_wizard.cs(2843): 11:35:38,752 9          INFO  - left pane = 277 x 513 [269 x 485]
c:\john\code\logwiz\logwizard\ui\log_wizard.cs(307): 11:35:38,774 9          DEBUG - loading contexts
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,778 9          DEBUG - [md5] computed md5 for C:\john\code\buff\magnetic\TableNinja2.log.4 -> Name-TableNinja2.log.4
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,782 9          DEBUG - [md5] computed md5 for C:\john\code\buff\magnetic\TableNinja2.log.4 -> Fast-79c8b92305dfc0cbf2ef9d8f23d43439-589505
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,784 9          DEBUG - [md5] computed md5 for C:\john\code\buff\vlad-ftpwrong\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,785 9          DEBUG - [md5] computed md5 for C:\john\code\buff\vlad-ftpwrong\TableNinja2.log -> Fast-a45cbdb86e07ea8eabdec1b62975bcb2-92729
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,786 9          DEBUG - [md5] computed md5 for C:\john\code\buff\denise-win10-2\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,787 9          DEBUG - [md5] computed md5 for C:\john\code\buff\denise-win10-2\TableNinja2.log -> Fast-18c2828d94f8f3716c6f5ead3ccd868d-478921
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,788 9          DEBUG - [md5] computed md5 for C:\john\code\buff\hk-not-working\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,789 9          DEBUG - [md5] computed md5 for C:\john\code\buff\hk-not-working\TableNinja2.log -> Fast-66e11700dbcfd9edb22b25803edf210c-395095
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,790 9          DEBUG - [md5] computed md5 for C:\john\code\buff\denise-w10-lag\TableNinja2.log -> Name-TableNinja2.log
